Date,IV,IVP,Nifty
2020-01-01,10.66,0.4,12243.80
2020-01-02,10.72,1.19,12339.30
2020-01-03,11.55,2.78,12256.45
2020-01-06,13.18,14.68,12043.70
2020-01-07,12.95,12.3,12106.70
2020-01-08,14.37,22.22,12063.50
2020-01-09,13.1,15.08,12269.75
2020-01-10,12.34,8.13,12290.00
2020-01-13,12.48,9.52,12362.15
2020-01-14,12,5.36,12397
2020-01-15,11.63,3.57,12378.05
2020-01-16,11.16,2.38,12374.35
2020-01-17,11.05,2.38,12384.65
2020-01-20,12.04,7.54,12263.15
2020-01-21,12.27,9.92,12203.10
2020-01-22,12.65,13.89,12145.25
2020-01-24,11.19,3.17,12271.60
2020-01-27,16.65,68.65,12125.70
2020-01-28,16.70,70.24,12068.00
2020-01-29,16.30,61.51,12121.55
2020-01-30,16.40,62.7,12043.50
2020-01-31,16.63,67.26,11994.30
2020-02-01,16.16,57.54,11654.90
2020-02-03,14.91,32.94,11703.15
2020-02-04,13.77,23.02,11964.25
2020-02-05,13.3,19.84,12086.30
2020-02-06,12.63,13.49,12136.35
2020-02-07,12.34,11.11,12095.90
2020-02-10,12.89,16.67,12040.05
2020-02-11,12.41,12.3,12126.85
2020-02-12,12.04,8.13,12228.45
2020-02-13,11.61,4.76,12174.60
2020-02-14,11.81,6.94,12129.65
2020-02-18,13.13,22.22,12006.10
2020-02-19,12.15,10.71,12147.70
2020-02-20,11.31,3.57,12079.00
2020-02-24,15.49,46.83,11857.55
2020-02-25,15.5,47.22,11816.55
2020-02-26,16.92,77.38,11695.65
2020-02-27,17.77,82.94,11631.45
2020-02-28,21.52,90.87,11149.15
2020-03-02,25.2,95.24,11123.70
2020-03-03,24.03.93.85,11294.75
