,date,pred,breadth,ta,hmm,c_ta,kalman
0,05-May-21,-1,1,1,1,-1,-1
1,06-May-21,-1,1,1,1,0,-1
2,07-May-21,-1,1,1,1,2,-1
3,10-May-21,-1,1,1,1,2,-1
4,11-May-21,-1,1,1,1,1,-1
5,12-May-21,-1,1,1,1,-2,-1
6,14-May-21,-1,1,1,1,-2,-1
7,17-May-21,-1,1,1,1,2,-1
8,18-May-21,-1,1,1,1,2,-1
9,19-May-21,-1,1,1,1,2,-1
10,20-May-21,-1,1,1,1,1,-1
11,21-May-21,-1,1,1,1,2,1
12,24-May-21,1,1,1,1,2,1
13,25-May-21,1,1,1,1,2,1
14,26-May-21,1,1,1,1,2,1
15,27-May-21,1,1,1,1,2,1
16,28-May-21,1,1,1,1,2,1
17,31-May-21,1,1,1,1,2,1
18,01-Jun-21,1,1,1,1,1,1
19,02-Jun-21,1,1,1,1,1,1
20,03-Jun-21,1,1,1,1,1,1
21,04-Jun-21,1,1,1,1,1,1
22,07-Jun-21,1,1,1,1,1,1
23,08-Jun-21,1,1,1,1,1,1
24,09-Jun-21,1,1,1,1,1,1
25,10-Jun-21,1,1,1,1,1,1
26,11-Jun-21,1,1,1,1,1,1
27,14-Jun-21,1,1,1,1,1,1
28,15-Jun-21,1,1,1,1,1,1
29,16-Jun-21,1,1,1,1,1,-1
30,17-Jun-21,1,1,1,1,1,1
31,18-Jun-21,1,-1,1,1,1,1
32,21-Jun-21,1,1,1,1,1,1
33,22-Jun-21,1,1,1,1,1,1
34,23-Jun-21,1,-1,1,1,0,1
35,24-Jun-21,1,-1,1,1,2,1
36,25-Jun-21,1,1,1,1,2,1
37,28-Jun-21,1,1,1,1,2,1
38,29-Jun-21,1,1,1,1,1,1
39,30-Jun-21,-1,1,1,1,0,1
40,01-Jul-21,-1,-1,-1,1,0,-1
41,02-Jul-21,-1,-1,-1,1,1,-1
42,05-Jul-21,-1,1,-1,1,2,-1
43,06-Jul-21,-1,1,1,1,2,-1
44,07-Jul-21,-1,1,1,1,2,-1
45,08-Jul-21,1,1,1,1,0,-1
46,09-Jul-21,-1,1,1,1,0,-1
47,12-Jul-21,1,1,-1,1,0,-1
48,13-Jul-21,1,1,1,1,2,-1
49,14-Jul-21,-1,1,1,1,2,-1
50,15-Jul-21,-1,1,1,1,2,-1
51,16-Jul-21,-1,1,1,1,2,-1
52,19-Jul-21,1,1,1,1,0,-1
53,20-Jul-21,-1,-1,1,1,0,-1
54,22-Jul-21,-1,1,1,1,2,-1
55,23-Jul-21,-1,1,1,1,2,-1
56,26-Jul-21,-1,-1,1,1,2,-1
57,27-Jul-21,-1,-1,-1,1,0,-1
58,28-Jul-21,-1,-1,-1,1,0,-1
59,29-Jul-21,-1,-1,1,1,1,-1
60,30-Jul-21,-1,-1,1,1,1,-1
61,02-Aug-21,-1,1,1,1,2,-1
62,03-Aug-21,-1,1,1,1,2,-1
63,04-Aug-21,-1,1,1,1,2,-1
64,05-Aug-21,-1,1,1,1,2,-1
65,06-Aug-21,-1,1,1,1,2,1
66,09-Aug-21,-1,1,1,1,1,1
67,10-Aug-21,-1,1,1,1,1,1
68,11-Aug-21,1,1,1,1,1,1
69,12-Aug-21,1,1,1,1,1,1
70,13-Aug-21,1,1,1,1,2,1
71,16-Aug-21,1,1,1,1,2,1
72,17-Aug-21,1,1,1,1,2,1
73,18-Aug-21,1,1,1,1,1,1
74,20-Aug-21,1,1,1,1,1,1
75,23-Aug-21,1,-1,1,1,1,1
76,24-Aug-21,1,-1,1,1,1,1
77,25-Aug-21,1,-1,1,1,1,1
78,26-Aug-21,1,-1,1,1,1,1
79,27-Aug-21,1,1,1,1,1,1
80,30-Aug-21,1,1,1,1,2,1
81,31-Aug-21,1,1,1,1,2,1
82,01-Sep-21,1,1,1,1,2,1
83,02-Sep-21,1,1,1,1,2,1
84,03-Sep-21,1,1,1,1,2,1
85,06-Sep-21,1,1,1,1,2,1
86,07-Sep-21,1,1,1,1,1,1
87,08-Sep-21,1,1,1,1,1,1
88,09-Sep-21,1,1,1,1,1,1
89,13-Sep-21,1,1,1,1,1,1
90,14-Sep-21,1,1,1,1,1,1
91,15-Sep-21,1,1,1,1,1,1
92,15-Sep-21,1,1,1,1,2,1
93,16-Sep-21,1,1,1,1,1,1
94,17-Sep-21,1,1,1,1,1,-1
95,20-Sep-21,1,1,1,1,1,1
96,21-Sep-21,1,1,1,1,1,1
97,22-Sep-21,1,1,1,1,2,1
98,23-Sep-21,1,1,1,1,2,1
99,24-Sep-21,1,1,1,1,2,1
100,27-Sep-21,1,1,1,1,1,1
101,28-Sep-21,1,-1,1,1,1,1
102,29-Sep-21,1,-1,1,1,1,1
103,30-Sep-21,1,-1,1,1,0,1
104,01-Oct-21,1,1,1,1,1,1
105,04-Oct-21,1,1,1,1,2,1
106,05-Oct-21,1,-1,1,1,1,1
107,06-Oct-21,1,1,1,1,2,1
108,07-Oct-21,1,1,1,1,2,1
109,08-Oct-21,1,1,1,1,2,1
110,11-Oct-21,1,1,1,1,2,1
111,12-Oct-21,1,1,1,1,2,1
112,13-Oct-21,1,1,1,1,2,1
113,14-Oct-21,1,1,1,1,2,1
114,18-Oct-21,1,1,1,1,2,1
115,19-Oct-21,1,1,1,1,1,1
116,20-Oct-21,1,1,1,1,1,1
117,21-Oct-21,1,1,1,1,1,-1
