,Company Name,Market_Cap,weights
0,Coromandel Int      ,25666.23,0.27143685215601904
1,Tata Chemicals      ,19336.0,0.20449060782548836
2,Chambal Fert      ,12633.99,0.1336125514253797
3,Fert and Chem      ,8787.24,0.09293070173295637
4,GNFC      ,5717.86,0.06047003862541616
5,GSFC      ,4586.48,0.04850496912388528
6,Deepak Fert      ,4428.9,0.046838459505497795
7,Rashtriya Chem      ,4410.75,0.046646511608723254
8,NFL      ,2999.89,0.03172576176611524
9,SPIC      ,1253.41,0.01325561505764095
10,Mangalore Chem      ,994.34,0.01051578356357034
11,Nagarjuna Fert      ,927.0,0.009803619851790842
12,Rama Phosphates      ,782.04,0.008270574831601412
13,Zuari Agro Chem      ,582.71,0.0061625321724239936
14,Madras Fert      ,490.55,0.005187881033760515
15,Zuari Global      ,451.91,0.0047792382386437965
16,Aries Agro      ,230.89,0.0024418099110895225
17,Basant Agro Tec      ,121.8,0.0012881131585200912
18,Bharat Agri      ,85.07,0.000899669839041906
19,Shiva Global      ,69.85,0.0007387085724353725
