,Company Name,Market_Cap,weights,index
0,Sun TV Network,20973.18,0.3538105796097338,BOM532733
1,Zee Entertain,19772.22,0.3335507833514599,BOM505537
2,TV18 Broadcast,6926.02,0.11683965667526854,BOM532800
3,Nxtdigital,1161.07,0.01958686520916111,BOM500189
4,Music Broadcast,869.4,0.014666489197761262,BOM540366
5,Zee Media,631.33,0.010650327381208441,BOM532794
6,Raj Television,241.4,0.0040723378103744755,BOM532826
7,Siti Networks,143.02,0.0024126998908026408,BOM532795
8,Colorchips New,90.07,0.001519450980034917,BOM540023
9,Perfect-Octave,7.01,0.00011825637137831429,BOM521062
10,TV Vision,6.78,0.00011437634778102296,BOM540083
11,Creative Eye,5.88,9.91936467481438e-05,BOM532392
12,Padmalaya Tele,4.76,8.029961879611641e-05,BOM532350
13,Ortel Comm,4.09,6.899694136052859e-05,BOM539015
